CrashID,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,LightCond,Locality,Longitude
103246619,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.310345,Daylight,Urban (>70% Developed),-80.752252
103246835,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,Stop Sign,Cloudy,No,35.263265,Daylight,Mixed (30% To 70% Developed),-80.854384
103247061,Straight - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,"Driveway, Private",Smooth Asphalt,Piedmont,Rural,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.951242,Daylight,Mixed (30% To 70% Developed),-78.847357
103247417,Curve - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,T-Intersection,Coarse Asphalt,Mountains,Rural,20 - 25  MPH,Stop Sign,Clear,No,35.622998,Daylight,Urban (>70% Developed),-82.624672
103247771,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.867057,Daylight,Mixed (30% To 70% Developed),-79.569238
103248269,Straight - Level,Local Street,Wet,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Coastal,Urban,30 - 35  MPH,No Control Present,Cloudy,No,34.231357,Daylight,Urban (>70% Developed),-77.878868
103248565,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Urban,40 - 45  MPH,No Control Present,Clear,No,35.04103,Dusk,Urban (>70% Developed),-78.934156
103248677,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,20 - 25  MPH,No Control Present,Clear,No,34.660625,Daylight,Urban (>70% Developed),-77.05058
103248777,Straight - Level,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,34.549577,Daylight,Rural (<30% Developed),-77.432828
103249302,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,36.358512,Daylight,Urban (>70% Developed),-79.676694
103249333,Curve - Level,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.188666,Daylight,Rural (<30% Developed),-77.811149
103249455,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.660148,Daylight,Rural (<30% Developed),-77.431506
103249977,Straight - Level,US Route,Wet,"Two-Way, Not Divided",None,"Driveway, Private",Coarse Asphalt,Coastal,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,36.439531,Daylight,Rural (<30% Developed),-77.127225
103250061,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,36.327424,Daylight,Urban (>70% Developed),-78.38492
103250531,Straight - Bottom,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,5 - 15 MPH,Stop Sign,Clear,No,35.568239,Daylight,Urban (>70% Developed),-78.801219
103250723,Curve - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,Flashing Signal With Stop Sign,Clear,No,35.512604,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.318773
103250740,Straight - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Rural,40 - 45  MPH,Stop Sign,Clear,No,36.010065,Daylight,Rural (<30% Developed),-78.990003
103250924,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,35.265504,Daylight,Urban (>70% Developed),-81.177557
103251504,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Coastal,Urban,20 - 25  MPH,Stop Sign,Rain,No,34.027238,Daylight,Urban (>70% Developed),-77.8954
103251646,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Coarse Asphalt,Piedmont,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.778108,Daylight,Urban (>70% Developed),-78.362026
103251896,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.995489,Daylight,Mixed (30% To 70% Developed),-80.36666
103252133,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,Piedmont,Rural,40 - 45  MPH,No Control Present,Clear,No,35.140108,Dark - Lighted Roadway,Urban (>70% Developed),-79.4249
103252586,Straight - Level,NC Route,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,35.741233,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.35929
103252700,Straight - Level,US Route,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,34.105391,Daylight,Urban (>70% Developed),-77.899803
103252708,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,Stop Sign,Rain,No,35.022655,Daylight,Urban (>70% Developed),-78.991475
103253205,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,Related To Intersection,Smooth Asphalt,Coastal,Rural,30 - 35  MPH,No Control Present,Clear,No,35.013602,Daylight,Urban (>70% Developed),-78.693621
103253250,Straight - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,Related To Intersection,Coarse Asphalt,Piedmont,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.763683,Daylight,Rural (<30% Developed),-80.057199
103253428,Straight - Level,US Route,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,34.992529,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-79.185889
103253585,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Rural,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,35.711264,Dark - Roadway Not Lighted,Urban (>70% Developed),-78.61417
103253780,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35.488804,Daylight,Urban (>70% Developed),-80.827584
103253856,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",Unknown,No Special Feature,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,No Control Present,Clear,No,34.194518,Daylight,Urban (>70% Developed),-77.880013
